,TF,Target,Mode of Regulation,References
7780,SRF,FOS,Unknown,11846562;2200737;2493627
7801,SRSF1,MYC,Unknown,22545246
7802,SRSF1,NFKB1,Repression,19183244
7829,STAT1,CIITA,Activation,11397960;11464288;12847226;9491997
7830,STAT1,CIITA,Unknown,10202014;15247301;9551976
7843,STAT1,FOXP3,Unknown,19124747
7865,STAT1,IRF1,Activation,18497060;18694960;8647845
7866,STAT1,IRF1,Repression,22002246
7867,STAT1,IRF1,Unknown,10068671;10764778;12077266;18401423;24478085
7891,STAT1,PPARA,Activation,24242046
7898,STAT1,SMARCA4,Unknown,16195385
7901,STAT1,STAT3,Unknown,22693070
7907,STAT1,TP53,Activation,14602726
7908,STAT1,TP53,Unknown,24655378
7915,STAT2,IRF1,Activation,8647845
7922,STAT2,STAT1,Unknown,21498520
7927,STAT3,AR,Unknown,23906537
7966,STAT3,DNMT1,Activation,16861352;21944426
7967,STAT3,DNMT1,Unknown,19887607;23604529
7969,STAT3,EPAS1,Unknown,23991099
7970,STAT3,ESR2,Activation,21546410
7982,STAT3,FOS,Activation,12600988;14737107;17204573
7992,STAT3,HIF1A,Activation,17597020;18644974;19265129
7993,STAT3,HIF1A,Unknown,23991099
8012,STAT3,IRF1,Activation,8647845
8013,STAT3,IRF1,Unknown,10068671
8042,STAT3,MYC,Activation,15184887;17204573;19259613
8043,STAT3,MYC,Repression,20067773;22317895
8044,STAT3,MYC,Unknown,10464281;15469392;18184402;20654581
8059,STAT3,PIAS3,Activation,14630083
8063,STAT3,PPARA,Activation,24242046
8083,STAT3,STAT1,Activation,22693070
8091,STAT3,TP53,Unknown,20043094
8095,STAT3,TWIST1,Activation,23623921
8097,STAT3,TWIST2,Unknown,17909010
8101,STAT3,VDR,Repression,23424038
8110,STAT4,IRF1,Unknown,10068671;10358173
8111,STAT4,MYC,Activation,10702306
8127,STAT5A,ESR1,Unknown,11731618
8130,STAT5A,SP1,Unknown,17922009
8137,STAT5B,ESR1,Unknown,11731618
8138,STAT5B,ESR2,Unknown,11731618
8162,STAT6,FOS,Activation,11922943
8163,STAT6,FOS,Unknown,18342537
8181,STAT6,STAT1,Repression,19440213
8187,SUZ12,SNAI2,Repression,23836662
8188,SUZ12,TWIST1,Repression,23836662
8189,TAF1,AR,Activation,20181722
8193,TAF1,TBP,Unknown,16858867
8194,TAF4,ATF7,Repression,16205117
8203,TAL1,MYB,Activation,22897851
8204,TAL1,MYCN,Activation,24334727
8205,TAL1,NFKB1,Repression,16778171
8208,TBL1X,MYC,Unknown,20493879
8215,TBP,E2F1,Unknown,9400991
8216,TBP,FOS,Activation,15767669
8221,TBP,MYC,Unknown,7880838;9797456
8222,TBP,NF1,Repression,15767669
8224,TBPL1,NF1,Activation,15767669
8233,TBX21,GATA3,Unknown,17075044
8242,TBX21,YY1,Unknown,21272048
8264,TCF3,MYC,Activation,22384858
8265,TCF3,MYC,Repression,21788410
8280,TCF4,JUN,Unknown,19671687
8281,TCF4,KLF4,Unknown,18977346
8283,TCF4,MITF,Repression,21519923
8284,TCF4,MYC,Activation,21533051
8285,TCF4,MYC,Unknown,15928669;19561604;19662654;19778454
8295,TCF7,SNAI2,Unknown,20128911
8299,TCF7L2,CTNNB1,Unknown,24317174
8300,TCF7L2,GATA3,Unknown,22951069
8305,TCF7L2,SNAI2,Unknown,20128911
8307,TCF7L2,STAT3,Unknown,18602747
8313,TEAD1,SRF,Unknown,24344135
8348,TFAP2A,ETS1,Activation,1945412
8351,TFAP2A,FOXA1,Unknown,22577344
8408,TFAP2C,ESR1,Activation,11278455;19458056
8428,TFCP2,WT1,Unknown,10455131
8438,TFDP1,TP53,Repression,8557038
8440,TFDP3,E2F1,Unknown,23212661
8457,TLX1,MYC,Activation,20618946
8460,TNFAIP3,JUN,Repression,19124729
8461,TNFAIP3,NFKB1,Repression,19124729
8462,TNFAIP3,NFKB1,Unknown,24039598
8463,TNFAIP3,RELA,Repression,19124729
8464,TNFAIP3,RELA,Unknown,24039598
8465,TNFAIP3,SATB1,Unknown,24039598
8494,TP53,BRCA1,Repression,9619832
8495,TP53,BRCA1,Unknown,21742769
8525,TP53,CTNNB1,Repression,19411072
8530,TP53,DDB2,Activation,16357511
8531,TP53,DDB2,Unknown,12771027;12967652;15856024;15927209;22336944
8533,TP53,DNMT1,Activation,20570896
8534,TP53,DNMT1,Repression,20570896;21478913
8535,TP53,DNMT1,Unknown,18555750
8537,TP53,E2F1,Repression,8557038
8542,TP53,ELF4,Unknown,20805247
8544,TP53,ESR1,Unknown,21655924
8554,TP53,FOXO3,Unknown,19299143
8563,TP53,GLI2,Unknown,18813803
8570,TP53,HSF1,Unknown,20180806
8598,TP53,MYC,Repression,19411072
8599,TP53,MYC,Unknown,19202062
8600,TP53,NFKB1,Unknown,15988033
8601,TP53,NKX3-1,Repression,17202838
8605,TP53,PAX5,Activation,21319196
8609,TP53,PIAS3,Repression,11877452
8629,TP53,RB1,Unknown,8119988
8632,TP53,RELA,Unknown,15988033
8641,TP53,SMAD3,Unknown,21900401
8643,TP53,STAT1,Unknown,12364590
8644,TP53,STAT3,Repression,11809683
8647,TP53,TCF7L2,Repression,14990988
8654,TP53,TP53,Activation,22532570
8655,TP53,TP53,Unknown,11032029;16990849
8658,TP53,TP73,Unknown,11238924;16990849
8669,TP53BP1,BRCA1,Activation,15970701
8670,TP53BP1,BRCA1,Unknown,21914189
8672,TP63,BRCA1,Unknown,24556685
8674,TP63,DDB2,Unknown,17984111
8679,TP63,KLF4,Repression,20972454
8680,TP63,PPARA,Unknown,19458633
8682,TP63,TCF4,Activation,22232078
8683,TP63,VDR,Activation,22521434
8684,TP63,VDR,Unknown,16462763;17716971
8696,TP73,E2F1,Unknown,19363520
8701,TP73,VDR,Unknown,17716971
8713,TRIB3,SMAD3,Unknown,21896644
8715,TRIM16,E2F1,Repression,20729920
8717,TRIM22,NFKB1,Unknown,21651891
8718,TRIM22,RELA,Unknown,21651891
8721,TRIM28,E2F4,Repression,23060449
8726,TRPS1,RUNX2,Repression,16140555
8728,TRRAP,MITF,Repression,15581068
8732,TSC22D3,FOXO1,Repression,20018851
8733,TSC22D3,FOXO3,Repression,20018851
8742,TWIST1,ATM,Activation,19051271
8753,TWIST1,ESR1,Repression,22056872
8756,TWIST1,FOS,Activation,19051271
8766,TWIST1,MYB,Repression,19051271
8767,TWIST1,NF1,Repression,19051271
8772,TWIST1,RUNX2,Repression,21503964;21931630
8773,TWIST1,RUNX2,Unknown,12270142
8776,TWIST1,YBX1,Activation,21876555
8777,TWIST1,YBX1,Unknown,19318582
8779,TWIST2,ATM,Activation,19051271
8789,TWIST2,FOS,Activation,19051271
8795,TWIST2,MYB,Repression,19051271
8796,TWIST2,NF1,Repression,19051271
8802,TWIST2,RUNX2,Repression,21931630
8803,TWIST2,RUNX2,Unknown,12270142
8808,UHRF1,PPARG,Repression,22286757
8809,UHRF1,RB1,Activation,16007129
8815,URI1,AR,Repression,21730289
8818,USF1,APC,Activation,11241666
8831,USF1,CIITA,Activation,9491997
8832,USF1,CIITA,Unknown,10202014
8857,USF1,NFKB1,Unknown,19686049
8869,USF1,RELA,Unknown,19686049
8892,USF2,APC,Activation,11241666
8900,USF2,BRCA1,Unknown,14502648
8911,USF2,EPAS1,Unknown,23991099
8916,USF2,HIF1A,Unknown,23991099
8975,VDR,FOXP3,Unknown,22529297
8984,VDR,NCOR1,Activation,23098689
8998,VHL,AR,Activation,23961993
9007,VHL,HIF1A,Repression,11987242
9008,VHL,HIF1A,Unknown,11727931;19238077
9010,VHL,KLF10,Unknown,18359287
9014,VHL,TCF4,Unknown,16407833
9016,VHL,TP53,Unknown,22071692
9020,WDR5,MYC,Unknown,24782528
9021,WHSC1,AR,Unknown,19481544
9025,WT1,AR,Repression,11299720
9044,WT1,ETS1,Activation,18212735;20842112
9056,WT1,JUN,Activation,20842112
9059,WT1,MYB,Repression,7559553
9060,WT1,MYC,Repression,17634147
9061,WT1,MYC,Unknown,15286719
9062,WT1,MYCN,Repression,10470095
9068,WT1,PAX2,Repression,9738017;9916932
9072,WT1,SMAD3,Activation,20842112
9073,WT1,SNAI2,Unknown,17430890
9082,WT1,VDR,Activation,23362234
9083,WT1,VDR,Unknown,11050081;11773605
9096,WWTR1,SMAD3,Activation,22470139
9103,XBP1,ESR1,Activation,15882996
9123,XRCC5,ETS1,Repression,19836356
9131,YBX1,AR,Unknown,21652770
9139,YBX1,E2F1,Unknown,22205655
9151,YBX1,MYCN,Activation,17072343
9159,YEATS4,TP53,Repression,18214854
9162,YY1,APC,Repression,22907428
9166,YY1,BRCA1,Unknown,21666725
9183,YY1,DEK,Unknown,12483538
9186,YY1,EPAS1,Repression,19483472
9202,YY1,HDAC1,Unknown,11532945
9205,YY1,HIF1A,Unknown,20660740
9227,YY1,MYC,Activation,18490439
9228,YY1,MYC,Repression,19279113
9229,YY1,MYC,Unknown,10528225;17434929;9797456
9230,YY1,NF1,Activation,15763658
9234,YY1,PARP1,Unknown,9367892
9251,YY1,TFAP2A,Activation,18218085
9256,YY1,TP53,Activation,10634504;8816507
9257,YY1,TP53,Repression,10787423
9258,YY1,TP53,Unknown,10505791
9259,YY1,TP73,Activation,17980704
9270,ZBTB16,CEBPA,Unknown,19723763
9275,ZBTB16,LEF1,Unknown,19723763
9283,ZBTB2,TP53,Repression,19380588
9286,ZBTB7A,FOS,Repression,17189472
9287,ZBTB7A,MYC,Repression,17189472
9291,ZEB1,AR,Unknown,19921427;22391641
9315,ZFHX3,MYB,Repression,15750593
9318,ZFP36,HIF1A,Activation,19962963
9319,ZFP36,HIF1A,Repression,19962963
9333,ZIC1,JUND,Activation,20713527
9335,ZIC2,TCF4,Repression,21908606
9359,ZNF224,VDR,Activation,23362234
9362,ZNF24,CTNNB1,Activation,24224020
9371,ZNF300,MYC,Activation,21777376
9381,ZNF382,JUN,Repression,20682794
9382,ZNF382,MITF,Repression,20682794
9383,ZNF382,MYC,Repression,20682794
9384,ZNF382,NFKB1,Repression,20682794
9385,ZNF382,STAT3,Repression,20682794
9386,ZNF382,STAT5B,Repression,20682794
9387,ZNF383,JUN,Repression,15964543
9389,ZNF423,BRCA1,Unknown,23764426
